Acronym/Jargon,What does it stand for?,Explanation
OSI Reference Model,,Seven-layer model defined as a framework around which an Open Systems Architecture can be built. It describes the conceptual structure of communications systems. 
OSM,Order Service Management,
OSPF,Open Shortest Path First,A routing protocol. 
OSS,Operations support system,"Operations Support Systems (also called Operational Support Systems or OSS) are computer systems used by telecommunications service providers. The term OSS most frequently describes ""network systems"" dealing with the telecom network itself, supporting pro"
OSS,OPERATION SUPPORT SYSTEM,
OTA,Over The Air,Send settings to mobile phone?
OTC,ORDER TO CASH,
OTCC,One Touch Customer Care ,
OTDR,Optical Time Domain Reflectometer,This sends an optical pulse along a fibre to test it. The reflectometer extracts light that is reflected and scattered back
OUTAGE (OUT),,A customer planned outage 
Outage Minutes,,Total number of minutes that a service was unavailable
Outcome,,The result of an incident investigation 
Out-of-Band Signalling,,Transmission using frequencies or channels outside the frequencies or channels normally used for information transfer. Out-of-band signalling is often used for error reporting in situations in which in-band signalling can be affected by whatever problems the network might be experiencing. 
Outsourcing,,"Used to be called ""facilities management"". The sub-contracting of specialised tasks"
OUTSOURCING,Outsourcing,"The sharing of call centre activities e.g. peak call loads or certain call types, with a third party specialist company who can manage the calls on your behalf"
OVD,Oracle Virtual Directory,
Overlay Traffic Channels,,Channels that operate at the same frequency as normal traffic channels in other cells but at such a low signal level that interference does not occur. 
Overview,,A document which provides a synopsis of the organisation
Owner,,Individual or organisation having responsibility for specified information assets and for the maintenance of appropriate security measures. 
OWT,,One Way Transmission voice calls 
P2P-AP,PROCURE TO PAY –ACCOUNTS PAYABLE,
PABX,Private Automatic Branch Exchange,The private exchange inside the customer's premises either residential or business. Most modern PABX's are digital
PABX,Private Automatic Branch Exchange,The private exchange inside the customer's premises either residential or business. Most modern PABX's are digital
PABX,Public Branch Exchange,"A telephone exchange that serves a particular business or office, as opposed to one that a common carrier or telephone company operates for many businesses or for the general public."
PACE,Priority Access Control Enabled. ,
Packet,,A frame or blocks of data usually in binary form organised for transmission over communications channels. 
Packet Loss Recovery,,A mechanism for dealing with the recovery of lost data packets. There are three ways to recover lost data packets: 1 Re-send only the packet that was lost. 2 FEC-Forward Error Correction
Packet Switching,,Networking method in which nodes share bandwidth with each other by sending packets. 
PACs,Pre Approved Changes,
PAD,Packet Assembler/Disassembler,Device used to connect simple devices like character-mode terminals that do not support the full functionality of a particular protocol to a network. PADs buffer data and assemble and disassemble packets sent to such end devices. 
Pager,,A small
PAMS,Prepay Account Managers,
PAP,Password Authentication Protocol,Authentication protocol that allows PPP peers to authenticate one another. The remote router attempting to connect to the local router is required to send an authentication request. Unlike CHAP
Paper,,Includes: printed paper
Parity Check,,Process for checking the integrity of a character. A parity check involves appending a bit that makes the total number of binary 1 digits in a character or word excluding the parity bit either odd for odd parity or even for even parity. 
PAS,Payment Authorisation System ,
PAT,performance acceptance test,
Pathway,Pathway,
PAYG,Pay As You Go,"Pay As You Go - Customers who don't have a contract with Vodafone, but 'top-up' their mobiles with credit, only paying for it when they want it/run out."
Payload,,
PBI,Problem Investigation,"several PBIs are assigned to each Problem Manager, as a general rule each PBI deals with one incident"
PBX,Private Business Exchange,Private Business Exchange - A company's own telephone network that connects them into the public network.
PBX,Public Automatic Branch Exchange,"A telephone exchange that serves a particular business or office, as opposed to one that a common carrier or telephone company operates for many businesses or for the general public."
PC,Personal Computer ,
PCA,Percentage Calls Answered,
PCA15,Percentage Calls Answered within 15 Seconds,% of calls answered within 15 seconds 
PCA20,Percentage Calls Answered within 20 Seconds,% of calls answered within 20 seconds 
PCA60,Percentage Calls Answered within 60 Seconds,% of calls answered within 60 seconds 
PCB,Printed Circuit Board ,
PCEF,Policy Control Enforcement Function,
PCI,Protocol Control Information,Control information added to used data to comprise an OSI packet. The OSI equivalent of the term header. 
PCI DSS,Payment Card Industry Data Security Standard,A worldwide information security standard defined by the Payment Card Industry Security Standards Council. The standard was created to help payment card industry organisations that process card payments prevent credit card fraud through increased controls
PCM,Pulse Code Modulation,Transmission of analogue information in digital form through sampling and encoding the samples with a fixed number of bits. 
PCMCIA,Personal Computer Memory Card International Association,
PCN,Personal Communications Network,Mobile telephone networks that permit two-way communications over small
PCRF,Policy and Charging Rules Function,
P-CSCF,Proxy Call Server Control Function,
PCSN,Private Circuit Switching Network ,
PCU,Peripheral Control Unit ,
PCX,,A popular Windows format for image files 
PDA,Personal Digital Assistant,A portable organiser
PDC,Primary Distribution Cable ,
PDD,Pending Delayed Dispatch ,
PDF,Portable Document Format,"Adobe Systems made the PDF specification. 
A file format used to present documents in a manner independent of application software, hardware, and operating systems.[2] Each PDF file encapsulates a complete description of a fixed-layout flat document, including the text, fonts, graphics, and other information needed to display it. "
PDH,Plesiochronous Digital Hierachy,The transmission technology for transmitting multiple channels of traffic from one point to another. 
PDH,Plesiochronous Digital Hierarchy,The Plesiochronous Digital Hierarchy (PDH) is a technology used in telecommunications networks to transport large quantities of data over digital transport equipment such as fibre optic and microwave radio systems.
PDN,Public Data Networks,
PDU,Protocol Data Unit,OSI term for packet. 
PE,Protective Earth ,
Peak Hour,,The period of the day when telephone exchange is most loaded with calls 
Peak Rate,,Maximum rate
Peer Group,,Collection of ATM nodes that share identical topological databases and exchange full link state information with each other. Peer groups are arranged hierarchically to prevent excessive PTSP traffic. 
Peer-to-Peer Network,,A telephony term that refers to the relationship between an external computer and a telephone system. 
Peer-to-Peer Network,,Typically a LAN
Performance,,The measure of service against agreed service targets
Peripheral,,Any external device attached to a computer e.g. printer
Peripheral Node,,In SNA
PERL,Practical Extraction and Reporting Language,
PFA,Please Find Attached,
PGP,Pretty Good Privacy,
PH4C,Product Hub For Catalogue,
PIC,Port Interface Card ,
PICK,PICK is an acronym standing for Perfomance,
